,skewness,rank,demeaned_rank,weight
DAL,1.6130897792288876,21.0,-142.0,-0.010755131409528138
BBD,1.690476142571713,20.0,-143.0,-0.010830871771567068
BB,1.6907382497236911,19.0,-144.0,-0.010906612133605999
TM,1.7165748812191717,18.0,-145.0,-0.01098235249564493
ERIC,1.7735622049509885,17.0,-146.0,-0.01105809285768386
FMCC,1.807249560151209,16.0,-147.0,-0.011133833219722791
AMD,1.8113270644063844,15.0,-148.0,-0.01120957358176172
HMC,1.8403950735730237,14.0,-149.0,-0.011285313943800652
BMA,1.9585581459872563,13.0,-150.0,-0.011361054305839582
BBAR,1.9752223538381783,12.0,-151.0,-0.011436794667878513
FNMA,2.233772744005969,11.0,-152.0,-0.011512535029917444
GGAL,2.3063175829733487,10.0,-153.0,-0.011588275391956374
TGS,2.3860334775196193,9.0,-154.0,-0.011664015753995305
CAH,2.4115000675407976,8.0,-155.0,-0.011739756116034235
TEO,2.5093394803133364,7.0,-156.0,-0.011815496478073166
NOK,2.521747613954384,6.0,-157.0,-0.011891236840112096
ANF,2.560827782081669,5.0,-158.0,-0.011966977202151027
NG,2.626352385564118,4.0,-159.0,-0.012042717564189957
CEPU,2.9803828582376317,3.0,-160.0,-0.012118457926228888
ORCL,3.3360233168433027,2.0,-161.0,-0.01219419828826782
AAP,5.71372009455371,1.0,-162.0,-0.012269938650306749
